,Player,height,weight,collage,born,birth_city,birth_state
1312,Clemon Johnson,208,108,Florida Agricultural and Mechanical University,1956,Monticello,Florida
1313,Jeff Judkins,198,83,University of Utah,1956,Salt Lake City,Utah
1314,Joel Kramer,201,92,San Diego State University,1955,San Diego,California
1315,Butch Lee,183,83,Marquette University,1956,Santurce,Puerto Rico
1316,John Long,196,88,University of Detroit Mercy,1956,Romulus,Michigan
1317,Billy McKinney,183,72,Northwestern University,1955,Waukegan,Illinois
1318,Mike Mitchell,201,97,Auburn University,1956,Atlanta,Georgia
1319,John Olive,201,95,Villanova University,1955,Philadelphia,Pennsylvania
1320,Roger Phegley,198,92,Bradley University,1956,East Peoria,Illinois
1321,Stan Pietkiewicz,196,90,Auburn University,1956,Huntsville,Alabama
1322,Wayne Radford,190,92,Indiana University,1956,Indianapolis,Indiana
1323,Marlon Redmond,198,85,University of San Francisco,1955,San Francisco,California
1324,Micheal Ray,198,85,,1955,,
1325,Rick Robey,211,104,University of Kentucky,1956,Coral Gables,Florida
1326,Jackie Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
1327,John Rudd,201,104,McNeese State University,1955,DeRidder,Louisiana
1328,Frankie Sanders,198,90,Southern University and A&M College,1957,Dayton,Ohio
1329,Purvis Short,201,95,Jackson State University,1957,Hattiesburg,Mississippi
1330,Sam Smith,201,104,Kentucky Wesleyan College,1944,Hazard,Kentucky
1331,Reggie Theus,201,86,"University of Nevada, Las Vegas",1957,Inglewood,California
1332,Mychal Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas
1333,Raymond Townsend,190,79,"University of California, Los Angeles",1955,San Jose,California
1334,Terry Tyler,201,97,University of Detroit Mercy,1956,Detroit,Michigan
1335,Andre Wakefield,190,79,Loyola University of Chicago,1955,Chicago,Illinois
1336,Jerome Whitehead,208,99,Marquette University,1956,Waukegan,Illinois
1337,Freeman Williams,193,86,Portland State University,1956,Los Angeles,California
1338,Rick Wilson,196,90,University of Louisville,1956,Louisville,Kentucky
1339,James Bailey,206,99,Rutgers University,1957,Dublin,Georgia
1340,Billy Ray,206,99,,1957,,
1341,Larry Bird*,206,99,Indiana State University,1956,West Baden,Indiana
1342,Lawrence Boston,203,102,University of Maryland,1956,Cleveland,Ohio
1343,Dudley Bradley,198,88,University of North Carolina,1957,Baltimore,Maryland
1344,Bill Cartwright,216,111,University of San Francisco,1957,Lodi,California
1345,Jeff Cook,208,97,Idaho State University,1956,West Covina,California
1346,Hollis Copeland,198,81,Rutgers University,1955,Trenton,New Jersey
1347,John Coughran,201,102,University of California,1951,Pittsburg,California
1348,Terry Crosby,193,88,University of Tennessee,1957,Toledo,Ohio
1349,Pat Cummings,206,104,University of Cincinnati,1956,Johnstown,Pennsylvania
1350,Paul Dawkins,196,86,Northern Illinois University,1957,Saginaw,Michigan
1351,Greg Deane,193,86,University of Utah,1957,Tulare,California
1352,Larry Demic,206,102,University of Arizona,1957,Gary,Indiana
1353,Terry Duerod,188,81,University of Detroit Mercy,1956,Royal Oak,Michigan
1354,Earl Evans,203,91,"University of Nevada, Las Vegas",1955,Port Arthur,Texas
1355,Mike Evans,185,77,Kansas State University,1955,Goldsboro,North Carolina
1356,Gary Garland,193,81,DePaul University,1957,East Orange,New Jersey
1357,Dave Greenwood,206,100,"University of California, Los Angeles",1957,Lynwood,California
1358,Roy Hamilton,188,81,"University of California, Los Angeles",1957,Los Angeles,California
1359,Gerald Henderson,188,79,Virginia Commonwealth University,1956,Richmond,Virginia
1360,Johnny High,190,83,"University of Nevada, Reno",1957,Birmingham,Alabama
1361,Brad Holland,190,81,"University of California, Los Angeles",1956,Billings,Montana
1362,Phil Hubbard,203,97,University of Michigan,1956,Canton,Ohio
1363,Geoff Huston,188,79,Texas Tech University,1957,Brooklyn,New York
1364,Abdul Jeelani,203,95,University of Wisconsin-Parkside,1954,Bells,Tennessee
1365,Cheese Johnson,183,77,University of California,1949,Corpus Christi,Texas
1366,Magic Johnson*,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana
1367,Vinnie Johnson,188,90,Baylor University,1956,Brooklyn,New York
1368,Major Jones,206,102,Albany State University,1953,McGhee,Arkansas
1369,Greg Kelser,201,86,Michigan State University,1957,Panama City,Florida
1370,Irv Kiffin,206,102,Oklahoma Baptist University,1951,New York,New York
1371,Carl Kilpatrick,208,104,University of Louisiana at Monroe,1956,Bastrop,Louisiana
1372,Reggie King,198,102,University of Alabama,1957,Birmingham,Alabama
1373,Arvid Kramer,206,99,Augustana College (SD),1956,Fulda,Minnesota
1374,Allen Leavell,185,77,Oklahoma City University,1957,Muncie,Indiana
1375,Ollie Mack,190,83,East Carolina University,1957,New York,New York
1376,Steve Malovic,208,104,San Diego State University,1956,Cleveland,Ohio
1377,Paul Mokeski,213,113,University of Kansas,1957,Spokane,Washington
1378,Sidney Moncrief,190,81,University of Arkansas,1957,Little Rock,Arkansas
1379,Calvin Natt,198,99,University of Louisiana at Monroe,1957,Monroe,Louisiana
1380,Sylvester Norris,211,99,Jackson State University,1957,Jackson,Mississippi
1381,Wiley Peck,201,99,Mississippi State University,1957,Montgomery,Alabama
1382,Sam Pellom,206,102,"University at Buffalo, State University of New York",1951,Wilmington,North Carolina
1383,Clint Richardson,190,88,Seattle University,1956,Seattle,Washington
1384,Cliff Robinson,206,99,University of Southern California,1960,Oakland,California
1385,Jim Spanarkel,196,86,Duke University,1957,Jersey City,New Jersey
1386,Bernard Toone,206,95,Marquette University,1956,Yonkers,New York
1387,Duck Williams,188,81,University of Notre Dame,1956,Demopolis,Alabama
1388,Sly Williams,201,95,University of Rhode Island,1958,New Haven,Connecticut
1389,Bubba Wilson,190,79,Western Carolina University,1955,Gastonia,North Carolina
1390,Tony Zeno,203,95,Arizona State University,1957,New Orleans,Louisiana
1391,Darrell Allums,206,99,"University of California, Los Angeles",1958,Los Angeles,California
1392,Norman Black,196,83,Saint Joseph's University,1957,Baltimore,Maryland
1393,Dave Britton,193,81,Texas A&M University,1958,New York,New York
1394,Michael Brooks,201,99,La Salle University,1958,Philadelphia,Pennsylvania
1395,Lewis Brown,190,86,University of Wyoming,1919,,
1396,Rickey Brown,208,97,Mississippi State University,1958,Madison County,Mississippi
1397,Joe Barry,193,88,Georgia Institute of Technology,1969,Oakland,California
1398,Butch Carter,196,81,Indiana University,1958,Springfield,Ohio
1399,Reggie Carter,190,79,St. John's University,1957,New York,New York
1400,Art Collins,193,83,St. Thomas University,1954,Sandersville,Georgia
1401,Don Collins,198,81,Illinois State University,1951,Christopher,Illinois
1402,Darwin Cook,190,83,University of Portland,1958,Los Angeles,California
1403,Earl Cureton,206,95,University of Detroit Mercy,1957,Detroit,Michigan
1404,Monti Davis,201,92,Tennessee State University,1958,Warren,Ohio
1405,James Donaldson,218,124,Washington State University,1957,Heacham,United Kingdom
1406,Larry Drew,185,77,University of Missouri,1958,Kansas City,Kansas
1407,Ralph Drollinger,218,113,"University of California, Los Angeles",1954,La Mesa,California
1408,John Duren,190,88,Georgetown University,1958,Washington,District of Columbia
1409,Tony Fuller,193,81,Pepperdine University,1958,Detroit,Michigan
1410,Calvin Garrett,201,86,Oral Roberts University,1956,Parsons,Tennessee
1411,Mike Gminski,211,113,Duke University,1959,Monroe,Connecticut
1412,Darrell Griffith,193,86,University of Louisville,1958,Louisville,Kentucky
1413,Bill Hanzlik,201,83,University of Notre Dame,1957,Middletown,Ohio
1414,Alan Hardy,201,88,University of Michigan,1957,Detroit,Michigan
1415,Mike Harper,208,88,North Park University,1957,Chicago,Illinois
1416,Cedrick Hordges,203,99,University of South Carolina,1957,Montgomery,Alabama
1417,Tony Jackson,193,90,St. John's University,1942,Brooklyn,New York
1418,Lee Johnson,211,92,East Texas State University,1957,Plummerville,Arkansas
1419,Reggie Johnson,206,92,University of Tennessee,1957,Atlanta,Georgia
1420,Edgar Jones,208,102,"University of Nevada, Reno",1956,Fort Rucker,Alabama
1421,Walter Jordan,201,89,Purdue University,1956,Perry,Alabama
1422,Clarence Kea,198,98,Lamar University,1959,Wilmington,North Carolina
1423,Chad Kinch,193,86,University of North Carolina at Charlotte,1958,Perth Amboy,New Jersey
1424,Wayne Kreklow,193,79,Drake University,1957,Neenah,Wisconsin
1425,Bill Laimbeer,211,111,University of Notre Dame,1957,Boston,Massachusetts
1426,Edmund Lawrence,213,103,McNeese State University,1952,Lake Charles,Louisiana
1427,Ronnie Lester,188,79,University of Iowa,1959,Canton,Mississippi
1428,Kyle Macy,190,79,University of Kentucky,1957,Fort Wayne,Indiana
1429,Rick Mahorn,208,108,Hampton University,1958,Hartford,Connecticut
1430,Wes Matthews,185,77,University of Wisconsin,1959,Sarasota,Florida
1431,Bill Mayfield,201,92,University of Iowa,1957,Detroit,Michigan
1432,Keith McCord,201,95,University of Alabama at Birmingham,1957,Birmingham,Alabama
1433,Kevin McHale*,208,95,University of Minnesota,1957,Hibbing,Minnesota
1434,Dick Miller,198,97,University of Toledo,1958,Milwaukee,Wisconsin
1435,Johnny Moore,185,79,University of Texas at Austin,1958,Altoona,Pennsylvania
1436,Lowes Moore,185,77,West Virginia University,1957,Plymouth,South Carolina
1437,Kenny Natt,190,83,University of Louisiana at Monroe,1958,Monroe,Louisiana
1438,Carl Nicks,185,79,Indiana State University,1958,Chicago,Illinois
1439,Mike Niles,198,102,"California State University, Fullerton",1955,Los Angeles,California
1440,Mike O'Koren,201,93,University of North Carolina,1958,Jersey City,New Jersey
1441,Jawann Oldham,213,97,Seattle University,1957,Chicago,Illinois
1442,Louis Orr,203,79,Syracuse University,1958,Cincinnati,Ohio
1443,Myles Patrick,203,99,Auburn University,1954,Macon,Georgia
1444,Tony Price,198,86,University of Pennsylvania,1957,Bronx,New York
1445,Wally Rank,198,99,San Jose State University,1958,Fort Ord,California
1446,Kelvin Ransey,185,77,Ohio State University,1958,Toledo,Ohio
1447,James Ray,203,97,Jacksonville University,1957,New Orleans,Louisiana
1448,Billy Reid,196,86,University of San Francisco,1957,New York,New York
1449,Wayne Robinson,203,98,Virginia Polytechnic Institute and State University,1958,Greensboro,North Carolina
1450,Lorenzo Romar,185,79,University of Washington,1958,South Gate,California
1451,DeWayne Scales,203,94,Louisiana State University,1958,Dallas,Texas
1452,Craig Shelton,201,95,Georgetown University,1957,Washington,District of Columbia
1453,Jerry Sichting,185,76,Purdue University,1956,Martinsville,Indiana
1454,Larry Smith,203,97,Alcorn State University,1958,Rolling Fork,Mississippi
1455,Rory Sparrow,188,79,Villanova University,1958,Suffolk,Virginia
1456,John Stroud,201,97,University of Mississippi,1957,New Albany,Mississippi
1457,Carlos Terry,196,95,Winston-Salem State University,1956,Lexington,North Carolina
1458,Andrew Toney,190,80,University of Louisiana at Lafayette,1957,Birmingham,Alabama
1459,Ronnie Valentine,201,95,Old Dominion University,1957,Norfolk,Virginia
1460,Kiki Vandeweghe,203,99,"University of California, Los Angeles",1958,Wiesbaden,Germany
1461,Brett Vroman,213,99,"University of Nevada, Las Vegas",1955,Hollywood,California
1462,Hawkeye Whitney,201,104,Iowa State University,1939,Brooklyn,New York
1463,Michael Wiley,206,90,"California State University, Long Beach",1957,Long Beach,California
1464,James Wilkes,198,86,"University of California, Los Angeles",1953,Berkeley,California
1465,Jeff Wilkins,211,104,Illinois State University,1955,Chicago,Illinois
1466,Mike Woodson,196,88,Indiana University,1958,Indianapolis,Indiana
1467,Sam Worthen,196,88,Marquette University,1958,Brooklyn,New York
1468,Mark Aguirre,198,105,DePaul University,1959,Chicago,Illinois
1469,Danny Ainge,193,79,Brigham Young University,1959,Eugene,Oregon
1470,Carl Bailey,213,95,Tuskegee University,1958,Birmingham,Alabama
1471,Gene Banks,201,97,Duke University,1959,Philadelphia,Pennsylvania
1472,Rolando Blackman,198,86,Kansas State University,1959,Panama City,Panama
1473,Ray Blume,193,83,Oregon State University,1958,Valdosta,Georgia
1474,Alex Bradley,198,86,Texas Southern University,1953,Utica,Mississippi
1475,Charles Bradley,196,97,University of Wyoming,1959,Havre De Grace,Maryland
1476,Brad Branson,208,99,Southern Methodist University,1958,Harvey,Illinois
1477,Jim Brogan,193,83,West Virginia Wesleyan College,1958,Ardmore,Pennsylvania
1478,Roger Burkman,196,79,University of Louisville,1958,Indianapolis,Indiana
1479,David Burns,188,81,Saint Louis University,1958,Dallas,Texas
1480,Bobby Cattage,206,113,Auburn University,1958,Huntsville,Alabama
1481,Tom Chambers,208,99,University of Utah,1959,Ogden,Utah
1482,Joe Cooper,208,104,University of Colorado,1957,Houston,Texas
1483,Charles Davis,188,72,Wake Forest University,1949,New York,New York
1484,Kenny Dennard,203,99,Duke University,1958,King,North Carolina
1485,Mickey Dillard,190,77,Florida State University,1958,Hollywood,Florida
1486,John Douglas,188,77,University of Kansas,1956,Town Creek,Alabama
1487,Craig Dykema,203,86,"California State University, Long Beach",1959,Lakewood,California
1488,Franklin Edwards,185,77,Cleveland State University,1959,New York,New York
1489,Petur Gudmundsson,218,117,University of Washington,1958,Reykjavik,Iceland
1490,Glenn Hagan,183,77,St. Bonaventure University,1955,Sanford,Florida
1491,Steve Hayes,213,92,Idaho State University,1955,American Falls,Idaho
1492,Tracy Jackson,198,92,University of Notre Dame,1959,Rockville,Maryland
1493,Clay Johnson,208,108,Florida Agricultural and Mechanical University,1956,Monticello,Florida
1494,Frank Johnson,185,83,Wake Forest University,1958,Weirsdale,Florida
1495,Steve Johnson,203,99,Murray State University,1944,Clairton,Pennsylvania
1496,Albert King,198,86,University of Maryland,1959,Brooklyn,New York
1497,Jeff Lamp,198,88,University of Virginia,1959,Minneapolis,Minnesota
1498,Rock Lee,193,87,University of Oregon,1952,Boston,Massachusetts
1499,Alton Lister,213,108,Arizona State University,1958,Dallas,Texas
1500,Lewis Lloyd,198,92,Drake University,1959,Philadelphia,Pennsylvania
1501,Kevin Loder,198,92,Alabama State University,1959,Cassopolis,Michigan
1502,Rudy Macklin,201,92,Louisiana State University,1958,Louisville,Kentucky
1503,John McCullough,193,86,University of Oklahoma,1956,Lima,Ohio
1504,Hank McDowell,206,97,University of Memphis,1959,Memphis,Tennessee
1505,Mike McGee,196,86,University of Michigan,1959,Tyler,Texas
1506,Kevin McKenna,196,88,Creighton University,1959,St. Paul,Minnesota
1507,Larry Nance,208,92,Clemson University,1959,Anderson,South Carolina
1508,Kurt Nimphius,208,98,Arizona State University,1958,Milwaukee,Wisconsin
1509,Mark Radford,193,86,Oregon State University,1959,Tacoma,Washington
1510,Ed Rains,201,86,University of South Alabama,1956,Ocala,Florida
1511,Kurt Rambis,203,96,Santa Clara University,1958,Cupertino,California
1512,Jeff Ruland,208,108,Iona College,1958,Bayshore,New York
1513,Danny Schayes,211,106,Syracuse University,1959,Syracuse,New York
1514,Jim Smith,206,102,Ohio State University,1958,Cleveland,Ohio
1515,Larry Spriggs,201,104,Howard University,1959,Cheverly,Maryland
1516,Isiah Thomas*,185,81,Indiana University,1961,Chicago,Illinois
1517,Ray Tolbert,206,102,Indiana University,1958,Anderson,Indiana
1518,Kelly Tripucka,198,99,University of Notre Dame,1959,Glen Ridge,New Jersey
1519,Elston Turner,196,86,University of Mississippi,1959,Knoxville,Tennessee
1520,Darnell Valentine,185,83,University of Kansas,1959,Chicago,Illinois
1521,Pete Verhoeven,206,97,"California State University, Fresno",1959,Hanford,California
